"Sl No","Txn Date","Description","Cheque No","Withdrawal (in Rs.)","Deposits (in Rs.)","Balance (in Rs.)","Page Number","Minus"
"1","02/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 02-04-2026","","","9,719.73","18,111.69","1","1"
"2","02/04/2026","NEFT/YESAP60920668105/YESB/PAYTMPAYMENTS SERVICES","","","616.00","18,727.69","1","1"
"3","02/04/2026","BY CASH-6201- ANIL","","","45,000.00","63,727.69","1","1"
"4","02/04/2026","NEFT/YESAP60925555111/YESB/PhonePeLimited","","","52,015.64","1,15,743.33","1","1"
"5","02/04/2026","KHURANA ENTERPRISES","400758","29,253.00","","86,490.33","1","1"
"6","02/04/2026","Medisurge","400763","7,696.00","","78,794.33","1","1"
"7","02/04/2026","KISHORE BROTHERS","400760","10,869.00","","67,925.33","1","1"
"8","02/04/2026","Guru Nanak Medicos P","400761","6,146.00","","61,779.33","1","1"
"9","02/04/2026","JAGAT SINGH AND SONS","400766","7,167.00","","54,612.33","1","1"
"10","02/04/2026","NEFT/HSBCN09234706425/HSBC/LOVEINSTORESERVICES PR","","","319.00","54,931.33","1","1"
"11","03/04/2026","NEFT/YESAP60935121377/YESB/PhonePeLimited","","","56,377.52","1,11,308.85","1","1"
"12","03/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 03-04-2026","","","14,760.71","1,26,069.56","1","1"
"13","03/04/2026","BY CASH-6201- ANIL","","","46,000.00","1,72,069.56","1","1"
"14","03/04/2026","SHIVA REMEDIES","400619","4,843.00","","1,67,226.56","1","1"
"15","03/04/2026","CHIEF MEDICAL AGENCI","400762","3,548.00","","1,63,678.56","1","1"
"16","03/04/2026","SHIVA REMEDIES","398987","7,331.00","","1,56,347.56","1","1"
"17","03/04/2026","SHIVA REMEDIES","399025","7,747.00","","1,48,600.56","1","1"
"18","03/04/2026","MEDIKING","400755","14,829.00","","1,33,771.56","1","1"
"19","03/04/2026","SHIVA REMEDIES","400677","6,447.00","","1,27,324.56","1","1"
"20","03/04/2026","R P ASSOCIATES","400765","12,564.00","","1,14,760.56","1","1"
"21","03/04/2026","VAISHNAVI ENTERPRISE","400768","6,481.00","","1,08,279.56","1","1"
"22","03/04/2026","MEDICOS HEALTHCARE U","400769","20,227.00","","88,052.56","1","1"
"23","04/04/2026","NEFT/YESAP60945146782/YESB/PhonePeLimited","","","45,374.04","1,33,426.60","1","1"
"24","04/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 04-04-2026","","","1,441.45","1,34,868.05","1","1"
"25","04/04/2026","BY CASH-6201- RAKESH","","","35,000.00","1,69,868.05","1","1"
"26","04/04/2026","Gupta Agencies","400764","4,825.00","","1,65,043.05","1","1"
"27","04/04/2026","JAGAT SINGH AND SONS","400771","3,359.00","","1,61,684.05","1","1"
"28","04/04/2026","KRIS AGENCIES","400770","6,287.00","","1,55,397.05","1","1"
"29","04/04/2026","IBNEFT/KKBK/CHANDIGARHENTERPRISES","","2,449.00","","1,52,948.05","1","1"
"30","04/04/2026","IBNEFT/SBIN/OSWAL ENTERPRISES","","14,332.00","","1,38,616.05","1","1"
"31","04/04/2026","IBNEFT/SBIN/R S PHARMA","","8,656.00","","1,29,960.05","1","1"
"32","04/04/2026","IBNEFT/KKBK/SELVEL SALESAGENCIES","","8,016.00","","1,21,944.05","1","1"
"33","04/04/2026","IBNEFT/HDFC/SINGLA MEDICOSPHARMA SOLUTION","","19,657.00","","1,02,287.05","1","1"
"34","04/04/2026","IBNEFT/PUNB/KAUL AGENCIES","","10,662.00","","91,625.05","1","1"
"35","04/04/2026","IBNEFT/IDIB/GARG PHARMACEUTICALS","","9,746.00","","81,879.05","1","1"
"36","04/04/2026","IBNEFT/SCBL/HOLLY DRUGS PVT LTD","","22,113.00","","59,766.05","1","1"
"37","04/04/2026","IBNEFT/UBIN/JP PHARMA SOLUTIONSPVT LTD","","16,658.00","","43,108.05","2","1"
"38","05/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 05-04-2026","","","13,455.57","56,563.62","2","1"
"39","05/04/2026","NEFT/YESAP60955138251/YESB/PhonePeLimited","","","69,481.15","1,26,044.77","2","1"
"40","05/04/2026","IBNEFT/CNRB/MITTAL ENTERPRISES","","11,513.00","","1,14,531.77","2","1"
"41","05/04/2026","IBNEFT/IDIB/ROMEELA CHEMISTS","","15,983.00","","98,548.77","2","1"
"42","05/04/2026","IBNEFT/IDIB/ROMEELA CHEMISTS","","25,304.00","","73,244.77","2","1"
"43","05/04/2026","IBNEFT/YESB/AARK PHARMACEUTICALSPVT LTD","","38,363.00","","34,881.77","2","1"
"44","05/04/2026","IBNEFT/UTIB/NIRMAN ASSOCIATESPVT LTD","","15,554.00","","19,327.77","2","1"
"45","05/04/2026","IBNEFT/CNRB/KISHORE BROTHERS","","3,631.00","","15,696.77","2","1"
"46","05/04/2026","IBNEFT/UBIN/CHIEF MEDICALAGENCIES","","8,587.00","","7,109.77","2","1"
"47","06/04/2026","NEFT/YESAP60965175016/YESB/PhonePeLimited","","","50,639.69","57,749.46","2","1"
"48","06/04/2026","BY CASH-6201- ANIL","","","49,000.00","1,06,749.46","2","1"
"49","06/04/2026","IBNEFT/HDFC/ENKAY AGENCIES","","14,018.00","","92,731.46","2","1"
"50","06/04/2026","IBNEFT/HDFC/ENKAY AGENCIES","","9,327.00","","83,404.46","2","1"
"51","06/04/2026","IBNEFT/KKBK/LIFE CURE MEDICOSE","","18,104.00","","65,300.46","2","1"
"52","06/04/2026","IBNEFT/HDFC/CITY ENTERPRISES","","25,593.00","","39,707.46","2","1"
"53","06/04/2026","IBNEFT/SIBL/KHURANA ENTERPRISES","","21,933.00","","17,774.46","2","1"
"54","07/04/2026","NEFT/YESAP60975239947/YESB/PhonePeLimited","","","64,540.43","82,314.89","2","1"
"55","07/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 07-04-2026","","","8,204.17","90,519.06","2","1"
"56","07/04/2026","BY CASH-6201-ANIL","","","40,000.00","1,30,519.06","2","1"
"57","07/04/2026","MEDICOS HEALTHCARE U","400773","5,700.00","","1,24,819.06","2","1"
"58","07/04/2026","HITESH SHARMA","400767","6,926.00","","1,17,893.06","2","1"
"59","07/04/2026","SHIVA REMEDIES","400717","8,037.00","","1,09,856.06","2","1"
"60","07/04/2026","GURU NANAK MEDICOS P","400774","4,779.00","","1,05,077.06","2","1"
"61","07/04/2026","SINGLAMEDICOS PHARMA","400751","23,467.00","","81,610.06","2","1"
"62","07/04/2026","IBNEFT/KKBK/SHIVA REMEDIES","","7,936.00","","73,674.06","2","1"
"63","07/04/2026","IBNEFT/HDFC/JAI DURGA MEDICALAGENCIES","","24,826.00","","48,848.06","2","1"
"64","07/04/2026","IBNEFT/KKBK/MAHAJAN DISTRIBUTORS","","2,776.00","","46,072.06","2","1"
"65","07/04/2026","IBNEFT/CBIN/JOHAR BROTHERS","","1,915.00","","44,157.06","2","1"
"66","07/04/2026","IBNEFT/PUNB/BLISS COTTON","","6,335.00","","37,822.06","2","1"
"67","07/04/2026","IBNEFT/ICIC/MEHTA ENTERPRISES","","10,980.00","","26,842.06","2","1"
"68","07/04/2026","IBNEFT/KKBK/SELVEL SALESAGENCIES","","2,291.00","","24,551.06","2","1"
"69","07/04/2026","IBNEFT/HDFC/SINGLA MEDICOSPHARMA SOLUTION","","17,622.00","","6,929.06","2","1"
"70","08/04/2026","NEFT/YESAP60985239498/YESB/PhonePeLimited","","","44,230.26","51,159.32","2","1"
"71","08/04/2026","BY CASH-6201-ANIL","","","40,000.00","91,159.32","2","1"
"72","09/04/2026","NEFT/YESAP60995297226/YESB/PhonePeLimited","","","83,774.70","1,74,934.02","2","1"
"73","09/04/2026","EDCPOS Credit / ANIL MEDICAL HA/ 09-04-2026","","","2,725.00","1,77,659.02","2","1"
"74","09/04/2026","BY CASH-6201-ANIL","","","40,000.00","2,17,659.02","2","1"
"75","09/04/2026","IBNEFT/IDIB/MEDIWAYS","","14,130.00","","2,03,529.02","2","1"
"76","09/04/2026","IBNEFT/KKBK/ASIAN SURGICAL ANDMEDICAL CO","","15,210.00","","1,88,319.02","2","1"
