"Sr No","Tran ID","Value Date","Transaction Date","Transaction Posted Date","Cheque no/ Ref No","Transaction Remarks","Withdrawl(Dr)","Deposit(Cr)","Balance","Page Number","Minus"
"1","S3652 5161","08/Apr/2025","08/04/2025","08/04/2025 09:33:13 AM","","ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186521225098 0556540","20,890.00","","12,989.15","1","1"
"2","S5028 2311","09/Apr/2025","09/04/2025","09/04/2025 03:53:02 PM","","ECSRTN1_08042500 00000016681010","590.00","","12,399.15","1","1"
"3","S5075 1638","09/Apr/2025","09/04/2025","09/04/2025 04:28:43 PM","","ECSRTN2_08042500 00000016681010","590.00","","11,809.15","1","1"
"4","S6119 0571","10/Apr/2025","10/04/2025","10/04/2025 05:03:19 PM","","ECSRTN3_08042500 00000016681010","590.00","","11,219.15","1","1"
"5","S6819 3770","11/Apr/2025","11/04/2025","11/04/2025 12:34:39 PM","","BIL/ONL/000996624 850/Transport","1,842.16","","9,376.99","1","1"
"6","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:29 PM","","VEHICLE LN_INT OVERDUE_XX48351","160.00","","9,216.99","1","1"
"7","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:29 PM","","VEHICLE LN_INT OVERDUE_XX48352","72.00","","9,144.99","1","1"
"8","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:29 PM","","VEHICLE LN_INT OVERDUE_XX48354","78.00","","9,066.99","1","1"
"9","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:29 PM","","VEHICLE LN_INT OVERDUE_XX48356","72.00","","8,994.99","1","1"
"10","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48357","160.00","","8,834.99","1","1"
"11","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48358","160.00","","8,674.99","1","1"
"12","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48361","160.00","","8,514.99","1","1"
"13","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48362","72.00","","8,442.99","1","1"
"14","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48367","160.00","","8,282.99","1","1"
"15","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48369","160.00","","8,122.99","1","1"
"16","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48372","160.00","","7,962.99","1","1"
"17","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48375","72.00","","7,890.99","1","1"
"18","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48380","72.00","","7,818.99","1","1"
"19","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48382","78.00","","7,740.99","1","1"
"20","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:30 PM","","VEHICLE LN_INT OVERDUE_XX48386","72.00","","7,668.99","1","1"
"21","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:31 PM","","VEHICLE LN_INT OVERDUE_XX48390","160.00","","7,508.99","1","1"
"22","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:31 PM","","VEHICLE LN_INT OVERDUE_XX48393","160.00","","7,348.99","1","1"
"23","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:31 PM","","VEHICLE LN_INT OVERDUE_XX48397","160.00","","7,188.99","1","1"
"24","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:31 PM","","VEHICLE LN_INT OVERDUE_XX48400","72.00","","7,116.99","1","1"
"25","S1313 1786","16/Apr/2025","16/04/2025","16/04/2025 06:33:31 PM","","VEHICLE LN_INT OVERDUE_XX48403","72.00","","7,044.99","1","1"
"26","S1890 7642","17/Apr/2025","17/04/2025","17/04/2025 12:34:23 PM","","NEFT- UTIBN62025041720 531649-VIJAY TRANSCAB INDIA P LTD-0037450- 912020023300770- UTIB0001182","","18,25,000 .00","18,32,044 .99","2","1"
"27","S1951 9725","17/Apr/2025","17/04/2025","17/04/2025 01:35:48 PM","","GIB/002040721280/ GST /25043300249328","18,21,692 .00","","10,352.99","2","1"
"28","S2088 8852","17/Apr/2025","17/04/2025","17/04/2025 04:14:46 PM","","LVCHEXX48403- BOUNCECHGSAPR2 5GST","59.00","","10,293.99","2","1"
"29","S2089 0244","17/Apr/2025","17/04/2025","17/04/2025 04:14:49 PM","","LVCHEXX48400- BOUNCECHGSAPR2 5GST","59.00","","10,234.99","2","1"
"30","S2089 0309","17/Apr/2025","17/04/2025","17/04/2025 04:14:51 PM","","LVCHEXX48397- BOUNCECHGSAPR2 5GST","59.00","","10,175.99","2","1"
"31","S2089 0872","17/Apr/2025","17/04/2025","17/04/2025 04:14:52 PM","","LVCHEXX48393- BOUNCECHGSAPR2 5GST","59.00","","10,116.99","2","1"
"32","S2089 0416","17/Apr/2025","17/04/2025","17/04/2025 04:14:53 PM","","LVCHEXX48386- BOUNCECHGSAPR2 5GST","59.00","","10,057.99","2","1"
"33","S2089 0899","17/Apr/2025","17/04/2025","17/04/2025 04:14:53 PM","","LVCHEXX48390- BOUNCECHGSAPR2 5GST","59.00","","9,998.99","2","1"
"34","S2089 0441","17/Apr/2025","17/04/2025","17/04/2025 04:14:54 PM","","LVCHEXX48382- BOUNCECHGSAPR2 5GST","59.00","","9,939.99","2","1"
"35","S2089 0968","17/Apr/2025","17/04/2025","17/04/2025 04:14:55 PM","","LVCHEXX48380- BOUNCECHGSAPR2 5GST","59.00","","9,880.99","2","1"
"36","S2089 0987","17/Apr/2025","17/04/2025","17/04/2025 04:14:56 PM","","LVCHEXX48375- BOUNCECHGSAPR2 5GST","59.00","","9,821.99","2","1"
"37","S2089 1436","17/Apr/2025","17/04/2025","17/04/2025 04:14:57 PM","","LVCHEXX48372- BOUNCECHGSAPR2 5GST","59.00","","9,762.99","2","1"
"38","S2089 1452","17/Apr/2025","17/04/2025","17/04/2025 04:14:57 PM","","LVCHEXX48369- BOUNCECHGSAPR2 5GST","59.00","","9,703.99","2","1"
"39","S2089 1033","17/Apr/2025","17/04/2025","17/04/2025 04:14:58 PM","","LVCHEXX48367- BOUNCECHGSAPR2 5GST","59.00","","9,644.99","2","1"
"40","S2089 0588","17/Apr/2025","17/04/2025","17/04/2025 04:14:59 PM","","LVCHEXX48362- BOUNCECHGSAPR2 5GST","59.00","","9,585.99","2","1"
"41","S2088 9515","17/Apr/2025","17/04/2025","17/04/2025 04:15:00 PM","","LVCHEXX48361- BOUNCECHGSAPR2 5GST","59.00","","9,526.99","2","1"
