"Value Date","Post Date","Credit Amount","Debit Amount","Closing Balance","Description","Page Number","Minus"
"02/09/2024","02/09/2024","","1800058.41","-139496250.2","WITHDRAWAL TRANSFER RTGS/HDFC/IDIBR52024090240869 661/IOCXPP /. Txn Amt. 1800000.00 Charges. 58.41","1","1"
"02/09/2024","02/09/2024","","400028.91","-139896279.11","WITHDRAWAL TRANSFER RTGS/SBIN/IDIBR52024090240871 856/RAJENDRA/. Txn Amt. 400000.00 Charges. 28.91","1","1"
"02/09/2024","02/09/2024","","678029.21","-140574308.32","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24246353857 /SUNDARAM FIN/ Txn Amt. 678000.00 Charges. 29.21","1","1"
"02/09/2024","02/09/2024","","411629.21","-140985937.53","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24246353813 /SUNDARAM FIN/ Txn Amt. 411600.00 Charges. 29.21","1","1"
"02/09/2024","02/09/2024","","84855.61","-141070793.14","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24246353815 /SUNDARAM FIN/ Txn Amt. 84850.00 Charges. 5.61","1","1"
"02/09/2024","02/09/2024","","1000000","-142070793.14","C.A.S. CASH CHEQUE Paid to SELF Branch-UMARI (M.P.)","1","1"
"02/09/2024","02/09/2024","","20000","-142090793.14","DEBIT TRANS TDS FOR CASH WITHDRAWAL","1","1"
"02/09/2024","02/09/2024","","5625","-142096418.14","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24246360710 /ASAGAR / Txn Amt. 5622.34 Charges. 2.66","1","1"
"02/09/2024","02/09/2024","","6450","-142102868.14","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24246360711 /MADAN SINGH / Txn Amt. 6447.34 Charges. 2.66","1","1"
"02/09/2024","02/09/2024","","500029.21","-142602897.35","WITHDRAWAL TRANSFER NEFT/HDFC/IDIBH24246364166 /LAKSHMI CHAN/ Txn Amt. 500000.00 Charges. 29.21","2","1"
"02/09/2024","02/09/2024","","5000","-142607897.35","WITHDRAWAL TRANSFER / BRANCH-P035 / MAKASUD AHMAD & MAIMOONA BEGAM","2","1"
"02/09/2024","02/09/2024","","10000","-142617897.35","WITHDRAWAL TRANSFER / BRANCH-P015 / BALBIR BODY REPAIRING WORKS","2","1"
"02/09/2024","02/09/2024","","24000","-142641897.35","WITHDRAWAL TRANSFER / FREIGHT-P001 / HARI MANGAL SINGH","2","1"
"02/09/2024","02/09/2024","","3943.66","-142645841.01","WITHDRAWAL TRANSFER NEFT/UBIN/IDIBH24246384923 /GAURAV AUTO / Txn Amt. 3941.00 Charges. 2.66","2","1"
"02/09/2024","02/09/2024","","7350.66","-142653191.67","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBH24246388438 /PRAHLAD RAWA/ Txn Amt. 7348.00 Charges. 2.66","2","1"
"02/09/2024","02/09/2024","","6250.66","-142659442.33","WITHDRAWAL TRANSFER NEFT/ICIC/IDIBH24246388523 /TARACHAND VI/ Txn Amt. 6248.00 Charges. 2.66","2","1"
"02/09/2024","02/09/2024","","12149.61","-142671591.94","WITHDRAWAL TRANSFER NEFT/KKBK/IDIBH24246388513 /MAHAVEER SIN/ Txn Amt. 12144.00 Charges. 5.61","2","1"
"02/09/2024","02/09/2024","","12199.61","-142683791.55","WITHDRAWAL TRANSFER NEFT/SBIN/IDIBH24246388556 /RAIS KHAN / Txn Amt. 12194.00 Charges. 5.61","2","1"
"02/09/2024","02/09/2024","","24999.61","-142708791.16","WITHDRAWAL TRANSFER NEFT/BARB/IDIBH24246388528 /RAMCHARAN YA/ Txn Amt. 24994.00 Charges. 5.61","2","1"
"02/09/2024","02/09/2024","","32719.61","-142741510.77","WITHDRAWAL TRANSFER NEFT/INDB/IDIBH24246388558 /SHIV VIR SIN/ Txn Amt. 32714.00 Charges. 5.61","2","1"
"02/09/2024","02/09/2024","","7500.66","-142749011.43","WITHDRAWAL TRANSFER NEFT/CBIN/IDIBH24246388514 /RAJENDRA TIW/ Txn Amt. 7498.00 Charges. 2.66","3","1"
"02/09/2024","02/09/2024","","10000.66","-142759012.09","WITHDRAWAL TRANSFER NEFT/PUNB/IDIBH24246388529 /SUNEET SINGH/ Txn Amt. 9998.00 Charges. 2.66","3","1"
"02/09/2024","02/09/2024","","5200.66","-142764212.75","WITHDRAWAL TRANSFER NEFT/UTIB/IDIBH24246388585 /RANVEER SING/ Txn Amt. 5198.00 Charges. 2.66","3","1"
"02/09/2024","02/09/2024","477109.71","","-142287103.04","NO BOOK DEPOSIT TRANSFER RTGS/HDFC/HDFCR520240902893 33744/ULTRATEC/","3","1"
