"Value Date","Post Date","Credit Amount","Debit Amount","Closing Balance","Description","Page Number","Minus"
"11/04/2026","11/04/2026","","500029.21","-106800806.65","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P032 / NEFT/ICIC/IDIBN520260411378658 36/ETC POOL/ Txn Amt. 500000.00 Charges. 29.21","1","1"
"11/04/2026","11/04/2026","","500029.21","-107300835.86","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P276 / NEFT/ICIC/IDIBN520260411378658 38/HPCL / Txn Amt. 500000.00 Charges. 29.21","1","1"
"11/04/2026","11/04/2026","","36247.61","-107337083.47","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P248 / NEFT/BARB/IDIBN52026041137865 841/Gautam a/ Txn Amt. 36242.00 Charges. 5.61","1","1"
"11/04/2026","11/04/2026","","500029.21","-107837112.68","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - P043 / NEFT/HDFC/IDIBN52026041137866 844/INDIAN O/ Txn Amt. 500000.00 Charges. 29.21","1","1"
"11/04/2026","11/04/2026","","21285.61","-107858398.29","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 1 / NEFT/UTIB/IDIBN520260411379039 14/PRASHANT/ Txn Amt. 21280.00 Charges. 5.61","1","1"
"11/04/2026","11/04/2026","","11059.61","-107869457.9","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 9 / NEFT/PUNB/IDIBN52026041137903 270/ANOOP KU/ Txn Amt. 11054.00 Charges. 5.61","2","1"
"11/04/2026","11/04/2026","","9602.66","-107879060.56","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 11 / NEFT/UCBA/IDIBN52026041137904 127/RAHUL MI/ Txn Amt. 9600.00 Charges. 2.66","2","1"
"11/04/2026","11/04/2026","","9602.66","-107888663.22","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 12 / NEFT/UTIB/IDIBN520260411379041 28/ANIL TIW/ Txn Amt. 9600.00 Charges. 2.66","2","1"
"11/04/2026","11/04/2026","","5002.66","-107893665.88","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 14 / NEFT/UBIN/IDIBN520260411379039 28/VASKAR M/ Txn Amt. 5000.00 Charges. 2.66","2","1"
"11/04/2026","11/04/2026","","10002.66","-107903668.54","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 15 / NEFT/UTIB/IDIBN520260411379041 29/BASANT P/ Txn Amt. 10000.00 Charges. 2.66","2","1"
"11/04/2026","11/04/2026","","8802.66","-107912471.2","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 16 / NEFT/HDFC/IDIBN52026041137903 276/SIDDH GO/ Txn Amt. 8800.00 Charges. 2.66","2","1"
"11/04/2026","11/04/2026","","10002.66","-107922473.86","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 17 / NEFT/UBIN/IDIBN520260411379041 32/BRIJESH / Txn Amt. 10000.00 Charges. 2.66","3","1"
"11/04/2026","11/04/2026","","10002.66","-107932476.52","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 18 / NEFT/UBIN/IDIBN520260411379032 77/DUBRAJ S/ Txn Amt. 10000.00 Charges. 2.66","3","1"
"11/04/2026","11/04/2026","","7785.66","-107940262.18","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 19 / NEFT/BARB/IDIBN52026041137903 931/RAJESH K/ Txn Amt. 7783.00 Charges. 2.66","3","1"
"11/04/2026","11/04/2026","","14235.61","-107954497.79","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 2 / NEFT/CNRB/IDIBN52026041137903 932/BALENDRA/ Txn Amt. 14230.00 Charges. 5.61","3","1"
"11/04/2026","11/04/2026","","5808.66","-107960306.45","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 21 / NEFT/UBIN/IDIBN520260411379039 33/PIYUSH P/ Txn Amt. 5806.00 Charges. 2.66","3","1"
"11/04/2026","11/04/2026","","10002.66","-107970309.11","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 22 / NEFT/UBIN/IDIBN520260411379039 34/VIKASH S/ Txn Amt. 10000.00 Charges. 2.66","3","1"
"11/04/2026","11/04/2026","","16605.61","-107986914.72","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 3 / NEFT/UBIN/IDIBN520260411379032 78/JAGANNAT/ Txn Amt. 16600.00 Charges. 5.61","4","1"
"11/04/2026","11/04/2026","","9062.66","-107995977.38","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 4 / NEFT/UBIN/IDIBN520260411379032 79/RAMSAGAR/ Txn Amt. 9060.00 Charges. 2.66","4","1"
"11/04/2026","11/04/2026","","8602.66","-108004580.04","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 5 / NEFT/UBIN/IDIBN520260411379032 80/Shiv Pra/ Txn Amt. 8600.00 Charges. 2.66","4","1"
"11/04/2026","11/04/2026","","9602.66","-108014182.7","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 6 / NEFT/SBIN/IDIBN520260411379032 81/DWIJENDR/ Txn Amt. 9600.00 Charges. 2.66","4","1"
"11/04/2026","11/04/2026","","13166.61","-108027349.31","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 7 / NEFT/UBIN/IDIBN520260411379041 34/MOHD.TAR/ Txn Amt. 13161.00 Charges. 5.61","4","1"
"11/04/2026","11/04/2026","","9667.66","-108037016.97","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 8 / NEFT/PSIB/IDIBN520260411379041 36/SUDAMA / Txn Amt. 9665.00 Charges. 2.66","4","1"
"11/04/2026","11/04/2026","","9056.66","-108046073.63","WITHDRAWAL TRANSFER ONLINE B ULULK NEFT TRF - 10 / NEFT/PUNB/IDIBN52026041137903 282/ANOOP KU/ Txn Amt. 9054.00 Charges. 2.66","5","1"
"11/04/2026","11/04/2026","","14633","-108060706.63","WITHDRAWAL TRANSFER / BRANCH-P001 / RAJNEESH PANDEY","5","1"
"11/04/2026","11/04/2026","","28458","-108089164.63","WITHDRAWAL TRANSFER / BRANCH-P032 / PRINCE TRADING COMPANY","5","1"
